product_code,normalization_status,normalization_confidence,source_page,source_table,source_rows,source_columns,applications,continuation_product_type,footnote_marker,footnote_text,frequency,ip_rating,poles,product_type,rated_current,rated_voltage,reference_h,source_column_path,wiring_type
GW 62 024 FH,accepted,0.97,2,1,3,3,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+E,Straight plugs,16 A,100 ÷ 130 V,4,Straight connectors | IP66/IP67/IP68/IP69 | Fast wiring,Fast wiring
GW 62 024 H,accepted,0.97,2,1,3,4,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+E,Straight plugs,16 A,100 ÷ 130 V,4,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 202 FH,accepted,0.97,2,1,3,5,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,16 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP44/IP45 | Fast wiring,Fast wiring
GW 62 202 H,accepted,0.97,2,1,3,6,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,16 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 225 FH,accepted,0.97,2,1,3,7,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,16 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP66/IP67 | Fast wiring,Fast wiring
GW 62 225 H,accepted,0.98,2,1,3,8,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,16 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 003 FH,accepted,0.97,2,1,4,1,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+N+E,Straight plugs,16 A,100 ÷ 130 V,4,Straight connectors | IP44/IP54 | Fast wiring,Fast wiring
GW 62 003 H,accepted,0.97,2,1,4,2,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+N+E,Straight plugs,16 A,100 ÷ 130 V,4,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 025 FH,accepted,0.97,2,1,4,3,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+N+E,Straight plugs,16 A,100 ÷ 130 V,4,Straight connectors | IP66/IP67/IP68/IP69 | Fast wiring,Fast wiring
GW 62 025 H,accepted,0.97,2,1,4,4,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+N+E,Straight plugs,16 A,100 ÷ 130 V,4,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 203 FH,accepted,0.97,2,1,4,5,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,16 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP44/IP45 | Fast wiring,Fast wiring
GW 62 203 H,accepted,0.97,2,1,4,6,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,16 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 226 FH,accepted,0.97,2,1,4,7,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,16 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP66/IP67 | Fast wiring,Fast wiring
GW 62 226 H,accepted,0.98,2,1,4,8,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,16 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 004 FH,accepted,0.97,2,1,5,1,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,2P+E,Straight plugs,16 A,200 ÷ 250 V,6,Straight connectors | IP44/IP54 | Fast wiring,Fast wiring
GW 62 004 H,accepted,0.97,2,1,5,2,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,2P+E,Straight plugs,16 A,200 ÷ 250 V,6,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 026 FH,accepted,0.97,2,1,5,3,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,2P+E,Straight plugs,16 A,200 ÷ 250 V,6,Straight connectors | IP66/IP67/IP68/IP69 | Fast wiring,Fast wiring
GW 62 026 H,accepted,0.97,2,1,5,4,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,2P+E,Straight plugs,16 A,200 ÷ 250 V,6,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 205 FH,accepted,0.97,2,1,5,5,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,16 A,200 ÷ 250 V,6,10° flush-mounting | socket-outlets IP44/IP45 | Fast wiring,Fast wiring
GW 62 205 H,accepted,0.96,2,1,5,6,Standard use,10° flush-mounting,(**),"APPLICATION: GW 62 204, cap of reduced dimensions (62 x 62mm) for use in restricted spaces.",50/60 Hz,,2P+E,Straight plugs,16 A,200 ÷ 250 V,6,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 227 FH,accepted,0.97,2,1,5,7,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,16 A,200 ÷ 250 V,6,10° flush-mounting | socket-outlets IP66/IP67 | Fast wiring,Fast wiring
GW 62 227 H,accepted,0.98,2,1,5,8,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,16 A,200 ÷ 250 V,6,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 005 FH,accepted,0.97,2,1,6,1,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+E,Straight plugs,16 A,200 ÷ 250 V,9,Straight connectors | IP44/IP54 | Fast wiring,Fast wiring
GW 62 005 H,accepted,0.97,2,1,6,2,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+E,Straight plugs,16 A,200 ÷ 250 V,9,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 027 FH,accepted,0.97,2,1,6,3,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+E,Straight plugs,16 A,200 ÷ 250 V,9,Straight connectors | IP66/IP67/IP68/IP69 | Fast wiring,Fast wiring
GW 62 027 H,accepted,0.97,2,1,6,4,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+E,Straight plugs,16 A,200 ÷ 250 V,9,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 206 FH,accepted,0.97,2,1,6,5,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,16 A,200 ÷ 250 V,9,10° flush-mounting | socket-outlets IP44/IP45 | Fast wiring,Fast wiring
GW 62 206 H,accepted,0.97,2,1,6,6,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,16 A,200 ÷ 250 V,9,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 228 FH,accepted,0.97,2,1,6,7,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,16 A,200 ÷ 250 V,9,10° flush-mounting | socket-outlets IP66/IP67 | Fast wiring,Fast wiring
GW 62 228 H,accepted,0.98,2,1,6,8,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,16 A,200 ÷ 250 V,9,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 006 FH,accepted,0.97,2,1,7,1,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+N+E,Straight plugs,16 A,200 ÷ 250 V,9,Straight connectors | IP44/IP54 | Fast wiring,Fast wiring
GW 62 006 H,accepted,0.97,2,1,7,2,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+N+E,Straight plugs,16 A,200 ÷ 250 V,9,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 028 FH,accepted,0.97,2,1,7,3,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+N+E,Straight plugs,16 A,200 ÷ 250 V,9,Straight connectors | IP66/IP67/IP68/IP69 | Fast wiring,Fast wiring
GW 62 028 H,accepted,0.97,2,1,7,4,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+N+E,Straight plugs,16 A,200 ÷ 250 V,9,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 207 FH,accepted,0.97,2,1,7,5,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,16 A,200 ÷ 250 V,9,10° flush-mounting | socket-outlets IP44/IP45 | Fast wiring,Fast wiring
GW 62 207 H,accepted,0.97,2,1,7,6,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,16 A,200 ÷ 250 V,9,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 229 FH,accepted,0.97,2,1,7,7,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,16 A,200 ÷ 250 V,9,10° flush-mounting | socket-outlets IP66/IP67 | Fast wiring,Fast wiring
GW 62 229 H,accepted,0.98,2,1,7,8,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,16 A,200 ÷ 250 V,9,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 007 FH,accepted,0.97,2,1,8,1,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,2P+E,Straight plugs,16 A,380 ÷ 415 V,9,Straight connectors | IP44/IP54 | Fast wiring,Fast wiring
GW 62 007 H,accepted,0.97,2,1,8,2,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,2P+E,Straight plugs,16 A,380 ÷ 415 V,9,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 029 FH,accepted,0.97,2,1,8,3,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,2P+E,Straight plugs,16 A,380 ÷ 415 V,9,Straight connectors | IP66/IP67/IP68/IP69 | Fast wiring,Fast wiring
GW 62 029 H,accepted,0.97,2,1,8,4,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,2P+E,Straight plugs,16 A,380 ÷ 415 V,9,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 208 FH,accepted,0.97,2,1,8,5,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,16 A,380 ÷ 415 V,9,10° flush-mounting | socket-outlets IP44/IP45 | Fast wiring,Fast wiring
GW 62 208 H,accepted,0.97,2,1,8,6,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,16 A,380 ÷ 415 V,9,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 230 FH,accepted,0.97,2,1,8,7,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,16 A,380 ÷ 415 V,9,10° flush-mounting | socket-outlets IP66/IP67 | Fast wiring,Fast wiring
GW 62 230 H,accepted,0.98,2,1,8,8,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,16 A,380 ÷ 415 V,9,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 008 FH,accepted,0.97,2,1,9,1,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+E,Straight plugs,16 A,380 ÷ 415 V,6,Straight connectors | IP44/IP54 | Fast wiring,Fast wiring
GW 62 008 H,accepted,0.97,2,1,9,2,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+E,Straight plugs,16 A,380 ÷ 415 V,6,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 030 FH,accepted,0.97,2,1,9,3,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+E,Straight plugs,16 A,380 ÷ 415 V,6,Straight connectors | IP66/IP67/IP68/IP69 | Fast wiring,Fast wiring
GW 62 030 H,accepted,0.97,2,1,9,4,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+E,Straight plugs,16 A,380 ÷ 415 V,6,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 209 FH,accepted,0.97,2,1,9,5,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,16 A,380 ÷ 415 V,6,10° flush-mounting | socket-outlets IP44/IP45 | Fast wiring,Fast wiring
GW 62 209 H,accepted,0.97,2,1,9,6,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,16 A,380 ÷ 415 V,6,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 231 FH,accepted,0.97,2,1,9,7,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,16 A,380 ÷ 415 V,6,10° flush-mounting | socket-outlets IP66/IP67 | Fast wiring,Fast wiring
GW 62 231 H,accepted,0.98,2,1,9,8,Standard use,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,16 A,380 ÷ 415 V,6,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 009 FH,accepted,0.97,2,1,10,1,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+N+E,Straight plugs,16 A,380 ÷ 415 V,6,Straight connectors | IP44/IP54 | Fast wiring,Fast wiring
GW 62 009 H,accepted,0.97,2,1,10,2,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+N+E,Straight plugs,16 A,380 ÷ 415 V,6,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 031 FH,accepted,0.97,2,1,10,3,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+N+E,Straight plugs,16 A,380 ÷ 415 V,6,Straight connectors | IP66/IP67/IP68/IP69 | Fast wiring,Fast wiring
GW 62 031 H,accepted,0.97,2,1,10,4,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+N+E,Straight plugs,16 A,380 ÷ 415 V,6,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 210 FH,accepted,0.97,2,1,10,5,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,16 A,380 ÷ 415 V,6,10° flush-mounting | socket-outlets IP44/IP45 | Fast wiring,Fast wiring
GW 62 210 H,accepted,0.97,2,1,10,6,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,16 A,380 ÷ 415 V,6,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 232 FH,accepted,0.97,2,1,10,7,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,16 A,380 ÷ 415 V,6,10° flush-mounting | socket-outlets IP66/IP67 | Fast wiring,Fast wiring
GW 62 232 H,accepted,0.98,2,1,10,8,Standard use,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,16 A,380 ÷ 415 V,6,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 701 H,accepted,0.98,2,1,11,2,Use with particular voltage,Straight connectors,,,50/60 Hz,IP44/IP54,2P+E,Straight plugs,16 A,480 ÷ 500 V,7,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 735 H,accepted,0.98,2,1,11,4,Use with particular voltage,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,2P+E,Straight plugs,16 A,480 ÷ 500 V,7,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 801 H,accepted,0.98,2,1,11,6,Use with particular voltage,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,16 A,480 ÷ 500 V,7,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 835 H,accepted,0.99,2,1,11,8,Use with particular voltage,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,16 A,480 ÷ 500 V,7,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 010 H,accepted,0.97,2,1,12,2,Use with particular voltage,Straight connectors,,,50/60 Hz,IP44/IP54,3P+E,Straight plugs,16 A,480 ÷ 500 V,7,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 032 H,accepted,0.97,2,1,12,4,Use with particular voltage,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+E,Straight plugs,16 A,480 ÷ 500 V,7,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 211 H,accepted,0.97,2,1,12,6,Use with particular voltage,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,16 A,480 ÷ 500 V,7,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 233 H,accepted,0.98,2,1,12,8,Use with particular voltage,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,16 A,480 ÷ 500 V,7,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 011 H,accepted,0.97,2,1,13,2,Use with particular voltage,Straight connectors,,,50/60 Hz,IP44/IP54,3P+N+E,Straight plugs,16 A,480 ÷ 500 V,7,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 033 H,accepted,0.97,2,1,13,4,Use with particular voltage,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+N+E,Straight plugs,16 A,480 ÷ 500 V,7,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 212 H,accepted,0.97,2,1,13,6,Use with particular voltage,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,16 A,480 ÷ 500 V,7,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 234 H,accepted,0.98,2,1,13,8,Use with particular voltage,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,16 A,480 ÷ 500 V,7,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 702 H,accepted,0.97,2,1,14,2,Use with particular voltage,Straight connectors,,,50/60 Hz,IP44/IP54,3P+E,Straight plugs,16 A,600 ÷ 690 V,5,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 736 H,accepted,0.97,2,1,14,4,Use with particular voltage,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+E,Straight plugs,16 A,600 ÷ 690 V,5,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 802 H,accepted,0.97,2,1,14,6,Use with particular voltage,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,16 A,600 ÷ 690 V,5,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 836 H,accepted,0.98,2,1,14,8,Use with particular voltage,10° flush-mounting,,,50/60 Hz,,3P+E,Straight plugs,16 A,600 ÷ 690 V,5,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 703 H,accepted,0.97,2,1,15,2,Use with particular voltage,Straight connectors,,,50/60 Hz,IP44/IP54,3P+N+E,Straight plugs,16 A,600 ÷ 690 V,5,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 737 H,accepted,0.97,2,1,15,4,Use with particular voltage,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,3P+N+E,Straight plugs,16 A,600 ÷ 690 V,5,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 803 H,accepted,0.97,2,1,15,6,Use with particular voltage,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,16 A,600 ÷ 690 V,5,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 837 H,accepted,0.98,2,1,15,8,Use with particular voltage,10° flush-mounting,,,50/60 Hz,,3P+N+E,Straight plugs,16 A,600 ÷ 690 V,5,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 704 H,accepted,0.98,2,1,16,2,Use with high frequencies,Straight connectors,,,100 ÷ 300 Hz,IP44/IP54,2P+E,Straight plugs,16 A,> 50 V,10,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 738 H,accepted,0.98,2,1,16,4,Use with high frequencies,Straight connectors,,,100 ÷ 300 Hz,IP66/IP67/IP68/IP69,2P+E,Straight plugs,16 A,> 50 V,10,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 804 H,accepted,0.98,2,1,16,6,Use with high frequencies,10° flush-mounting,,,100 ÷ 300 Hz,,2P+E,Straight plugs,16 A,> 50 V,10,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 838 H,accepted,0.99,2,1,16,8,Use with high frequencies,10° flush-mounting,,,100 ÷ 300 Hz,,2P+E,Straight plugs,16 A,> 50 V,10,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 705 H,accepted,0.97,2,1,17,2,Use with high frequencies,Straight connectors,,,100 ÷ 300 Hz,IP44/IP54,3P+E,Straight plugs,16 A,> 50 V,10,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 739 H,accepted,0.97,2,1,17,4,Use with high frequencies,Straight connectors,,,100 ÷ 300 Hz,IP66/IP67/IP68/IP69,3P+E,Straight plugs,16 A,> 50 V,10,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 805 H,accepted,0.97,2,1,17,6,Use with high frequencies,10° flush-mounting,,,100 ÷ 300 Hz,,3P+E,Straight plugs,16 A,> 50 V,10,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 839 H,accepted,0.98,2,1,17,8,Use with high frequencies,10° flush-mounting,,,100 ÷ 300 Hz,,3P+E,Straight plugs,16 A,> 50 V,10,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 706 H,accepted,0.97,2,1,18,2,Use with high frequencies,Straight connectors,,,100 ÷ 300 Hz,IP44/IP54,3P+N+E,Straight plugs,16 A,> 50 V,10,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 740 H,accepted,0.97,2,1,18,4,Use with high frequencies,Straight connectors,,,100 ÷ 300 Hz,IP66/IP67/IP68/IP69,3P+N+E,Straight plugs,16 A,> 50 V,10,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 806 H,accepted,0.97,2,1,18,6,Use with high frequencies,10° flush-mounting,,,100 ÷ 300 Hz,,3P+N+E,Straight plugs,16 A,> 50 V,10,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 840 H,accepted,0.98,2,1,18,8,Use with high frequencies,10° flush-mounting,,,100 ÷ 300 Hz,,3P+N+E,Straight plugs,16 A,> 50 V,10,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 707 H,accepted,0.97,2,1,19,2,Use with high frequencies,Straight connectors,,,> 300 ÷ 500 Hz,IP44/IP54,2P+E,Straight plugs,16 A,> 50 V,2,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 741 H,accepted,0.97,2,1,19,4,Use with high frequencies,Straight connectors,,,> 300 ÷ 500 Hz,IP66/IP67/IP68/IP69,2P+E,Straight plugs,16 A,> 50 V,2,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 807 H,accepted,0.97,2,1,19,6,Use with high frequencies,10° flush-mounting,,,> 300 ÷ 500 Hz,,2P+E,Straight plugs,16 A,> 50 V,2,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 841 H,accepted,0.98,2,1,19,8,Use with high frequencies,10° flush-mounting,,,> 300 ÷ 500 Hz,,2P+E,Straight plugs,16 A,> 50 V,2,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 708 H,accepted,0.97,2,1,20,2,Use with high frequencies,Straight connectors,,,> 300 ÷ 500 Hz,IP44/IP54,3P+E,Straight plugs,16 A,> 50 V,2,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 742 H,accepted,0.97,2,1,20,4,Use with high frequencies,Straight connectors,,,> 300 ÷ 500 Hz,IP66/IP67/IP68/IP69,3P+E,Straight plugs,16 A,> 50 V,2,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 808 H,accepted,0.97,2,1,20,6,Use with high frequencies,10° flush-mounting,,,> 300 ÷ 500 Hz,,3P+E,Straight plugs,16 A,> 50 V,2,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 842 H,accepted,0.98,2,1,20,8,Use with high frequencies,10° flush-mounting,,,> 300 ÷ 500 Hz,,3P+E,Straight plugs,16 A,> 50 V,2,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
